year,prefecture_code,prefecture_name,analysis_population_n,scene_stay_ge30_n,scene_stay_ge30_share_reported_pct,scene_stay_ge45_n,scene_stay_ge60_n,source_pdf_filename,source_pdf_page,extraction_method,double_check_status,scene_stay_ge30_share_calculated_pct,rounding_difference_pp
2015,5,秋田県,6807,55,0.8,15,6,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,0.8079917731746731,0.007991773174673034
2015,6,山形県,6191,216,3.5,31,9,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.4889355516071716,-0.011064448392828385
2015,7,福島県,8553,420,4.9,105,45,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.910557699052964,0.010557699052963443
2015,8,茨城県,9781,574,5.9,136,58,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,5.868520601165525,-0.0314793988344757
2015,9,栃木県,7364,338,4.6,95,39,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.589896795219989,-0.0101032047800107
2015,10,群馬県,8294,278,3.4,75,26,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.3518205931999034,-0.04817940680009647
2015,11,埼玉県,23517,3532,15.0,988,397,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,15.01892248160905,0.018922481609049413
2015,12,千葉県,18566,1906,10.3,483,186,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,10.266077776580847,-0.03392222341915385
2015,13,東京都,40895,2255,5.5,616,202,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,5.51412153074948,0.014121530749480193
2015,14,神奈川県,30899,2353,7.6,528,170,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,7.615133175830933,0.015133175830933432
2015,15,新潟県,9368,744,7.9,157,57,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,7.941929974380871,0.04192997438087076
2015,16,富山県,3647,28,0.8,10,4,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,0.7677543186180422,-0.032245681381957825
2015,17,石川県,5040,83,1.6,19,9,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.6468253968253967,0.04682539682539666
2015,18,福井県,3423,29,0.8,8,4,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,0.8472100496640373,0.0472100496640373
2015,19,山梨県,3484,133,3.8,36,19,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.817451205510907,0.017451205510907286
2015,20,長野県,8577,241,2.8,49,11,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.809840270490848,0.009840270490848013
2015,21,岐阜県,9032,166,1.8,64,34,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.837909654561559,0.037909654561558925
2015,22,静岡県,9320,286,3.1,57,19,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.0686695278969958,-0.031330472103004325
2015,23,愛知県,18661,236,1.3,68,28,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.2646696318525266,-0.03533036814747348
2015,24,三重県,8322,526,6.3,124,41,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,6.3205960105743815,0.02059601057438165
2015,25,滋賀県,3196,54,1.7,24,13,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.6896120150187734,-0.010387984981226506
2015,26,京都府,7246,179,2.5,35,12,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.470328457079768,-0.029671542920231886
2015,27,大阪府,12047,616,5.1,129,39,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,5.113306217315515,0.013306217315514957
2015,28,兵庫県,16270,983,6.0,199,73,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,6.04179471419791,0.04179471419791003
2015,29,奈良県,3635,486,13.4,128,54,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,13.370013755158185,-0.029986244841815335
2015,30,和歌山県,4194,104,2.5,28,10,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.479732951835956,-0.0202670481640439
2015,31,鳥取県,2143,33,1.5,13,6,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.5398973401773215,0.039897340177321494
2015,32,島根県,3065,62,2.0,11,7,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.0228384991843393,0.022838499184339334
2015,33,岡山県,9745,406,4.2,83,24,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.166239096972807,-0.03376090302719348
2015,34,広島県,10119,776,7.7,202,66,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,7.66874197055045,-0.031258029449550584
2015,35,山口県,4328,151,3.5,41,19,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.488909426987061,-0.011090573012939142
2015,36,徳島県,3572,118,3.3,29,11,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.303471444568869,0.003471444568869053
2015,37,香川県,4352,118,2.7,26,12,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.7113970588235294,0.01139705882352926
2015,38,愛媛県,6786,155,2.3,38,16,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.2841143530798704,-0.015885646920129393
2015,39,高知県,5354,158,3.0,28,14,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.9510646245797534,-0.04893537542024662
2015,40,福岡県,11986,133,1.1,44,26,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.1096278992157518,0.00962789921575169
2015,41,佐賀県,3523,98,2.8,15,2,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.781720124893557,-0.018279875106443022
2015,42,長崎県,5730,247,4.3,55,18,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.31064572425829,0.010645724258290024
2015,43,熊本県,6725,154,2.3,26,14,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.2899628252788102,-0.01003717472118959
2015,44,大分県,5647,125,2.2,37,15,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.213564724632548,0.013564724632547875
2015,45,宮崎県,5832,208,3.6,52,20,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.5665294924554183,-0.03347050754458181
