prefecture_code,prefecture,year,ambulance_dispatches,persons_transported,call_to_scene_arrival_mean_minutes,call_to_physician_handover_mean_minutes,scene_ge10_count,scene_ge20_count,handover_ge60_count,handover_ge120_count,ambulance_teams,ambulance_vehicles,ambulance_personnel,operational_emergency_life_saving_technicians,emergency_designated_hospitals,emergency_designated_clinics,total_emergency_designated_facilities,hospitals,general_hospital_beds,acute_function_beds,highly_acute_function_beds,total_population,population_age65plus,legacy_inhabitable_land_area_km2_ssdse,total_emergency_designated_facilities_direct,total_emergency_designated_facilities_recalculated,inhabitable_land_area_ha,H711001_road_length_including_expressways_km_raw,H7110_road_length_excluding_expressways_km_raw,road_length_original_unit,scene_ge10_share,scene_ge20_share,handover_ge60_share,handover_ge120_share,annual_transport_strain_dispatches_per_team,annual_receiving_strain_transports_per_facility,proportion_age65plus,ambulance_dispatches_per_100000_population,ambulance_teams_per_100000_population,inhabitable_land_area_km2,total_road_length_km,road_length_excluding_expressways_km,population_density_per_inhabitable_km2,road_density_per_inhabitable_km2,road_density_excluding_expressways_per_inhabitable_km2
20,長野県,2024,116741,109667,9.5,40.5,44674,4567,11005,345,123,147,1840,732,,,,,,,,1987000,654000,324893,,,,,,,0.382676180605,0.0391207887546,0.10034923906,0.00314588709457,949.113821138,,0.32913940614,5875.23905385,6.19023653749,,,,,,
21,岐阜県,2024,104220,97557,8.8,36.6,32348,2294,6404,211,130,150,1732,660,,,,,,,,1916000,602000,221063,,,,,,,0.310381884475,0.0220111303013,0.0656436749798,0.00216283813565,801.692307692,,0.314196242171,5439.45720251,6.78496868476,,,,,,
22,静岡県,2024,198171,176220,9.8,42.5,84277,5563,19733,701,141,178,1800,790,,,,,,,,3527000,1101000,277437,,,,,,,0.425274131937,0.0280717158414,0.111979344002,0.00397798206787,1405.46808511,,0.312163311596,5618.68443436,3.99773178339,,,,,,
23,愛知県,2024,425847,385888,8.1,34.0,101583,3195,10823,356,261,298,4391,1539,,,,,,,,7460000,1928000,299590,,,,,,,0.238543420524,0.00750269462976,0.0280469980927,0.000922547474915,1631.59770115,,0.258445040214,5708.40482574,3.49865951743,,,,,,
24,三重県,2024,109417,100505,8.8,39.4,35352,1953,8880,264,110,127,1721,573,,,,,,,,1711000,529000,206414,,,,,,,0.323094217535,0.017849145928,0.0883538132431,0.00262673498831,994.7,,0.309175920514,6394.91525424,6.42898889538,,,,,,
25,滋賀県,2024,75892,69969,9.1,34.4,27528,1314,2220,44,59,67,932,357,,,,,,,,1402000,382000,129957,,,,,,,0.362725979023,0.0173140779002,0.0317283368349,0.00062884991925,1286.30508475,,0.272467902996,5413.12410842,4.20827389444,,,,,,
26,京都府,2024,168960,150035,7.9,34.3,35929,2207,6532,182,90,117,1264,537,,,,,,,,2520000,752000,117730,,,,,,,0.212647964015,0.0130622632576,0.0435365081481,0.00121305028827,1877.33333333,,0.298412698413,6704.76190476,3.57142857143,,,,,,
27,大阪府,2024,704090,607255,8.5,39.2,204979,5447,46776,2244,267,359,3108,1652,,,,,,,,8757000,2418000,133407,,,,,,,0.291126134443,0.00773622690281,0.0770285958946,0.00369531745313,2637.0411985,,0.276121959575,8040.31060866,3.04898937992,,,,,,
28,兵庫県,2024,344769,300704,9.2,40.6,123978,6807,29394,853,207,244,2335,1309,,,,,,,,5337000,1611000,276934,,,,,,,0.359597295581,0.0197436544469,0.0977506118974,0.00283667659891,1665.55072464,,0.301854974705,6459.97751546,3.87858347386,,,,,,
29,奈良県,2024,91832,83327,10.1,44.6,42670,2862,12679,558,73,84,937,332,,,,,,,,1285000,423000,85389,,,,,,,0.464652844324,0.0311656067602,0.152159564127,0.00669650893468,1257.97260274,,0.329182879377,7146.45914397,5.68093385214,,,,,,
30,和歌山県,2024,59516,54518,8.7,41.9,18156,1431,6800,285,68,86,805,323,,,,,,,,880000,303000,112336,,,,,,,0.30506082398,0.0240439545668,0.124729447155,0.00522763124106,875.235294118,,0.344318181818,6763.18181818,7.72727272727,,,,,,
31,鳥取県,2024,30498,28750,9.3,35.9,12020,787,1313,27,31,34,568,183,,,,,,,,531000,179000,90422,,,,,,,0.394124204866,0.0258049708178,0.0456695652174,0.000939130434783,983.806451613,,0.337099811676,5743.50282486,5.83804143126,,,,,,
32,島根県,2024,36838,34697,9.6,38.7,14209,1529,3424,68,71,77,660,289,,,,,,,,642000,226000,127078,,,,,,,0.385715836908,0.0415060535317,0.0986828832464,0.00195982361587,518.845070423,,0.352024922118,5738.00623053,11.0591900312,,,,,,
33,岡山県,2024,105314,96345,9.3,41.3,40096,2646,10942,266,104,121,1829,517,,,,,,,,1831000,571000,222838,,,,,,,0.380728108324,0.0251248646904,0.113571020811,0.00276091130832,1012.63461538,,0.311851447297,5751.72037138,5.67995630803,,,,,,
34,広島県,2024,157489,135240,9.3,45.2,59653,4143,21990,982,141,174,1183,703,,,,,,,,2714000,824000,229724,,,,,,,0.378775660522,0.0263065991911,0.162599822538,0.0072611653357,1116.94326241,,0.303610906411,5802.83714075,5.19528371408,,,,,,
35,山口県,2024,78793,68218,9.9,44.0,34352,2940,10277,283,75,95,891,403,,,,,,,,1281000,455000,171562,,,,,,,0.435977815288,0.037312959273,0.150649388724,0.00414846521446,1050.57333333,,0.355191256831,6150.89773614,5.85480093677,,,,,,
36,徳島県,2024,41766,37879,9.1,42.6,14418,1364,5423,273,45,55,621,252,,,,,,,,685000,245000,101629,,,,,,,0.345209021692,0.0326581429871,0.143166398268,0.00720715963991,928.133333333,,0.357664233577,6097.22627737,6.56934306569,,,,,,
37,香川県,2024,54997,48678,9.9,43.5,26760,1133,6863,318,45,56,603,247,,,,,,,,917000,301000,100502,,,,,,,0.486571994836,0.0206011236977,0.14098771519,0.00653272525576,1222.15555556,,0.328244274809,5997.49182116,4.90730643402,,,,,,
38,愛媛県,2024,82731,75928,9.4,40.4,30983,2883,8728,282,82,98,741,385,,,,,,,,1276000,440000,166571,,,,,,,0.374502907012,0.0348478804801,0.114951006216,0.00371404488463,1008.91463415,,0.344827586207,6483.62068966,6.4263322884,,,,,,
39,高知県,2024,46357,42002,10.3,45.1,21558,2216,6828,280,50,72,712,323,,,,,,,,656000,240000,115994,,,,,,,0.465043035572,0.0478029208102,0.162563687443,0.00666634922147,927.14,,0.365853658537,7066.61585366,7.62195121951,,,,,,
40,福岡県,2024,311516,277649,9.0,36.3,108983,3935,13460,335,173,211,1677,840,,,,,,,,5092000,1456000,276453,,,,,,,0.34984719886,0.0126317749329,0.0484784746208,0.00120655936092,1800.67052023,,0.285938727416,6117.75333857,3.39748625295,,,,,,
41,佐賀県,2024,43879,40526,10.2,39.9,21645,1442,3082,63,43,53,526,240,,,,,,,,788000,252000,133454,,,,,,,0.493288361175,0.0328631007999,0.0760499432463,0.00155455756798,1020.44186047,,0.319796954315,5568.40101523,5.45685279188,,,,,,
42,長崎県,2024,76981,67092,10.0,43.4,35245,3678,10108,244,80,97,861,364,,,,,,,,1252000,434000,166819,,,,,,,0.457840246295,0.0477780231486,0.150658796876,0.00363679723365,962.2625,,0.346645367412,6148.64217252,6.38977635783,,,,,,
43,熊本県,2024,105182,93230,9.4,41.6,39974,2764,11254,333,106,123,1053,489,,,,,,,,1697000,553000,274669,,,,,,,0.380046015478,0.0262782605389,0.120712217098,0.00357181164861,992.283018868,,0.325869180907,6198.11431939,6.24631703005,,,,,,
44,大分県,2024,66372,59104,9.1,39.8,22473,2316,6677,149,65,76,716,355,,,,,,,,1085000,374000,179505,,,,,,,0.33859157476,0.0348942325077,0.112970357336,0.00252097996751,1021.10769231,,0.344700460829,6117.23502304,5.99078341014,,,,,,
45,宮崎県,2024,56872,47648,10.4,44.7,27555,2603,8011,247,46,58,548,271,,,,,,,,1033000,351000,187508,,,,,,,0.484509073006,0.0457694471796,0.168128777703,0.00518384822028,1236.34782609,,0.339787028074,5505.517909,4.45304937076,,,,,,
46,鹿児島県,2024,100993,91012,9.5,41.0,40656,3508,11251,310,117,143,1255,615,,,,,,,,1532000,524000,328726,,,,,,,0.40256255384,0.0347350806492,0.123621060959,0.00340614424471,863.188034188,,0.342036553525,6592.23237598,7.63707571802,,,,,,
47,沖縄県,2024,100423,84289,9.1,35.8,36421,1795,2570,48,76,89,1020,534,,,,,,,,1466000,355000,112609,,,,,,,0.362675881023,0.0178743913247,0.0304903368174,0.000569469325772,1321.35526316,,0.242155525239,6850.13642565,5.18417462483,,,,,,
